year,ElNino,LaNina,Neutral,ElNino_1,LaNina_1,Neutral_1,ElNino_2,LaNina_2,Neutral_2
1981,0,0,1,0,0,1,1,0,0
1982,1,0,0,0,0,1,0,0,1
1983,0,1,0,1,0,0,0,0,1
1984,0,1,0,0,1,0,1,0,0
1985,0,0,1,0,1,0,0,1,0
1986,1,0,0,0,0,1,0,1,0
1987,1,0,0,1,0,0,0,0,1
1988,0,1,0,1,0,0,1,0,0
1989,0,0,1,0,1,0,1,0,0
1990,0,0,1,0,0,1,0,1,0
1991,1,0,0,0,0,1,0,0,1
1992,0,0,1,1,0,0,0,0,1
1993,0,0,1,0,0,1,1,0,0
1994,1,0,0,0,0,1,0,0,1
1995,0,1,0,1,0,0,0,0,1
1996,0,0,1,0,1,0,1,0,0
1997,1,0,0,0,0,1,0,1,0
1998,0,1,0,1,0,0,0,0,1
1999,0,1,0,0,1,0,1,0,0
2000,0,1,0,0,1,0,0,1,0
2001,0,0,1,0,1,0,0,1,0
2002,1,0,0,0,0,1,0,1,0
2003,0,0,1,1,0,0,0,0,1
2004,1,0,0,0,0,1,1,0,0
2005,0,1,0,1,0,0,0,0,1
2006,1,0,0,0,1,0,1,0,0
2007,0,1,0,1,0,0,0,1,0
2008,0,1,0,0,1,0,1,0,0
2009,1,0,0,0,1,0,0,1,0
2010,0,1,0,1,0,0,0,1,0
2011,0,1,0,0,1,0,1,0,0
2012,0,0,1,0,1,0,0,1,0
2013,0,0,1,0,0,1,0,1,0
2014,1,0,0,0,0,1,0,0,1
2015,1,0,0,1,0,0,0,0,1
2016,0,1,0,1,0,0,1,0,0
2017,0,1,0,0,1,0,1,0,0
